family_code,family_desc,sub_family_code,sub_family_desc,type_code,type_group_desc,type_desc,service_detail_code,complete_desc,service_desc,ippf_code
1,SRH - Family Planning,31,Fertility awareness-based methods,1916,Awareness-Based Methods,FABM - BBT,10,Contraception FAB Methods - Basal Body Temperature (BBT) - Initial Consultation/Training,Contraceptive Method - Initial Consultation,131191610
1,SRH - Family Planning,31,Fertility awareness-based methods,1916,Awareness-Based Methods,FABM - BBT,11,Contraception FAB Methods - Basal Body Temperature (BBT) - Follow up/Training,Contraceptive Method - Follow up/Resupply/Training,131191611
1,SRH - Family Planning,31,Fertility awareness-based methods,1919,Awareness-Based Methods,FABM - BBT,99,Contraception - FAB Methods - Other/Generic Services,Contraceptive Method - Generic Services,131191999
1,SRH - Family Planning,41,Family Planning Counselling,2000,Contraceptive counseling,Total FP Counselling,00,ALL FAMILY PLANNING GENERAL COUNSELLING,Control Account - Total,141200000
1,SRH - Family Planning,41,Family Planning Counselling,2001,Contraceptive counseling,Total FP Counselling,18,Contraception - FP General Counselling,Contraceptive General Counselling,141200118
1,SRH - Family Planning,41,Family Planning Counselling,2002,Contraceptive counseling,Total FP Counselling,18,"Contraception - FP General Counselling - Combined Counselling (FP - HIV/AIDS) , including Dual Protection",Contraceptive General Counselling,141200218
1,SRH - Family Planning,41,Family Planning Counselling,2009,Contraceptive counseling,Total FP Counselling,99,Contraception - FP General Counselling - Other/Generic Services,Contraceptive Method - Generic Services,141200999
1,SRH - Family Planning,45,Emergency Contraception,2100,Emergency Contraception,Total EC,00,ALL EMERGENCY CONTRACEPTION SERVICES,Control Account - Total,145210000
1,SRH - Family Planning,45,Emergency Contraception,2109,Emergency Contraception,Total EC,99,Emergency Contraception Services - Other/Generic Services,Contraceptive Method - Generic Services,145210999
1,SRH - Family Planning,45,Emergency Contraception,2110,Emergency Contraception,EC - Counselling,00,ALL EC - COUNSELLING,Control Account - Total,145211000
1,SRH - Family Planning,45,Emergency Contraception,2111,Emergency Contraception,EC - Counselling,19,EC - Counselling                                      ,SRH (Non Contraception) Service Specific Counselling,145211119
1,SRH - Family Planning,45,Emergency Contraception,2119,Emergency Contraception,EC - Counselling,99,EC - Counselling - Other/Generic Services,SRH (Non Contraception) Service Specific Counselling,145211999
1,SRH - Family Planning,45,Emergency Contraception,2120,Emergency Contraception,EC - Therapy,00,ALL EC - THERAPEUTIC,Control Account - Total,145212000
1,SRH - Family Planning,45,Emergency Contraception,2121,Emergency Contraception,EC - Therapy,11,EC - Combined Oral Contraceptives - Yuzpe - Follow Up,Contraceptive Method - Follow up/Resupply/Training,145212111
1,SRH - Family Planning,45,Emergency Contraception,2121,Emergency Contraception,EC - Therapy,10,EC - Combined Oral Contraceptives - Yuzpe - Contraceptive Supply (Treatment),Contraceptive Method - Initial Consultation,145212110
1,SRH - Family Planning,45,Emergency Contraception,2122,Emergency Contraception,EC - Therapy,11,EC Progestogen Only Pills - Follow Up,Contraceptive Method - Follow up/Resupply/Training,145212211
1,SRH - Family Planning,45,Emergency Contraception,2122,Emergency Contraception,EC - Therapy,10,EC Progestogen Only Pills - Contraceptive Supply (Treatment),Contraceptive Method - Initial Consultation,145212210
1,SRH - Family Planning,45,Emergency Contraception,2123,Emergency Contraception,EC - Therapy,11,EC Dedicated Product - Follow Up,Contraceptive Method - Follow up/Resupply/Training,145212311
1,SRH - Family Planning,45,Emergency Contraception,2123,Emergency Contraception,EC - Therapy,10,EC Dedicated Product - Contraceptive Supply (Treatment),Contraceptive Method - Initial Consultation,145212310
1,SRH - Family Planning,45,Emergency Contraception,2124,Emergency Contraception,EC - Therapy,11,EC Copper releasing IUD - Follow Up,Contraceptive Method - Follow up/Resupply/Training,145212411
1,SRH - Family Planning,45,Emergency Contraception,2124,Emergency Contraception,EC - Therapy,10,EC Copper releasing IUD - DIU Insertion (Treatment),Contraceptive Method - Initial Consultation,145212410
1,SRH - Family Planning,45,Emergency Contraception,2129,Emergency Contraception,EC - Therapy,99,EC - Therapeutic - Other/Generic Services,Contraceptive Method - Generic Services,145212999
2,SRH Non Family Planning,50,SRH (Non Family Planning Services,0000,Total Non-FP SRH,Total Non-FP SRH,00,ALL SRH (NON FAMILY PLANNING) SERVICES,Control Account - Total,250000000
2,SRH Non Family Planning,52,Abortion,2200,Medical and surgical abortion,Total Abortion,00,ALL ABORTION SERVICES,Control Account - Total,252220000
2,SRH Non Family Planning,52,Abortion,2209,Medical and surgical abortion,Total Abortion,99,Abortion Services - Other/Generic Services,Control Account - Total,252220999
2,SRH Non Family Planning,52,Abortion,2210,"Abortion-related, not including med/surg abortion",Abortion - Counselling,00,ALL ABORTION / PRE ABORTION COUNSELLING,Control Account - Total,252221000
2,SRH Non Family Planning,52,Abortion,2211,"Abortion-related, not including med/surg abortion",Abortion - Counselling,29,Abortion Counselling - Pre - Abortion Counseling,SRH (Non Contraception) Service Specific Counselling,252221129
2,SRH Non Family Planning,52,Abortion,2212,"Abortion-related, not including med/surg abortion",Abortion - Counselling,29,Abortion Counselling - Counselling on HIV Testing,SRH (Non Contraception) Service Specific Counselling,252221229
2,SRH Non Family Planning,52,Abortion,2219,"Abortion-related, not including med/surg abortion",Abortion - Counselling,99,Abortion Counselling - Other/Generic Services,SRH (Non Contraception) - Generic Services,252221999
2,SRH Non Family Planning,52,Abortion,2220,"Abortion-related, not including med/surg abortion",Abortion - Consult,00,ALL ABORTION / PRE-ABORTION CONSULTATION (DIAGNOSTICS),Control Account - Total,252222000
2,SRH Non Family Planning,52,Abortion,2221,"Abortion-related, not including med/surg abortion",Abortion - Consult,21,Abortion Diagnosis - Exclusion of Anaemia (Haemoglobin/Hematocrit tests),SRH (Non Contraception) - Diagnostic Test/Exam,252222121
2,SRH Non Family Planning,52,Abortion,2222,"Abortion-related, not including med/surg abortion",Abortion - Consult,21,Abortion Diagnosis - Tests for ABO and Rhesus (Rh) blood groups typing,SRH (Non Contraception) - Diagnostic Test/Exam,252222221
2,SRH Non Family Planning,52,Abortion,2223,"Abortion-related, not including med/surg abortion",Abortion - Consult,21,Abortion Diagnosis - Exclusion of ectopic pregnancy (through ultrasound),SRH (Non Contraception) - Diagnostic Test/Exam,252222321
2,SRH Non Family Planning,52,Abortion,2224,"Abortion-related, not including med/surg abortion",Abortion - Consult,21,Abortion Diagnosis - Cervical cytology (Pap smear citology test),SRH (Non Contraception) - Diagnostic Test/Exam,252222421
2,SRH Non Family Planning,52,Abortion,2225,"Abortion-related, not including med/surg abortion",Abortion - Consult,21,Abortion Diagnosis - HIV testing ,SRH (Non Contraception) - Diagnostic Test/Exam,252222521
2,SRH Non Family Planning,52,Abortion,2229,"Abortion-related, not including med/surg abortion",Abortion - Consult,99,Abortion Diagnosis - Other/Generic Services,SRH (Non Contraception) - Generic Services,252222999
2,SRH Non Family Planning,52,Abortion,2230,Medical and surgical abortion,Abortion - Induced,00,ALL ABORTION / INDUCED ABORTION (SURGICAL),Control Account - Total,252223000
2,SRH Non Family Planning,52,Abortion,2231,Medical and surgical abortion,Abortion - Induced,23,Abortion Induced (Surgical) - Dilatation And Curettage (D&C)                                 ,SRH (Non Contraception) - Surgery,252223123
2,SRH Non Family Planning,52,Abortion,2232,Medical and surgical abortion,Abortion - Induced,23,Abortion Induced (Surgical) - Dilatation And Evacuation (D&E) (2nd trimester of pregnancy),SRH (Non Contraception) - Surgery,252223223
2,SRH Non Family Planning,52,Abortion,2233,Medical and surgical abortion,Abortion - Induced,23,Abortion Induced (Surgical) - Manual Vacuum Aspiration (MVA),SRH (Non Contraception) - Surgery,252223323
2,SRH Non Family Planning,52,Abortion,2239,Medical and surgical abortion,Abortion - Induced,99,Abortion Induced (Surgical) - Other/Generic Services,SRH (Non Contraception) - Generic Services,252223999
2,SRH Non Family Planning,52,Abortion,2240,"Abortion-related, not including med/surg abortion",Abortion - Therapy,00,ALL ABORTION (MEDICAL),Control Account - Total,252224000
2,SRH Non Family Planning,52,Abortion,2241,"Abortion-related, not including med/surg abortion",Abortion - Therapy,22,Abortion Care - Induced Abortion (Medical) - Pharmaceutical/Medical,SRH (Non Contraception) - Therapy / Treatment,252224122
2,SRH Non Family Planning,52,Abortion,2249,"Abortion-related, not including med/surg abortion",Abortion - Therapy,99,Abortion Care - Induced Abortion (Medical) - Other/Generic Services,SRH (Non Contraception) - Generic Services,252224999
2,SRH Non Family Planning,52,Abortion,2250,"Abortion-related, not including med/surg abortion",Abortion - Incomplete,00,ALL ABORTION / INCOMPLETE ABORTION  TREATMENT (SURGICAL/MEDICAL),Control Account - Total,252225000
2,SRH Non Family Planning,52,Abortion,2251,"Abortion-related, not including med/surg abortion",Abortion - Incomplete,23,Abortion (Incomplete Abortion) - Surgical / D&C ,SRH (Non Contraception) - Surgery,252225123
2,SRH Non Family Planning,52,Abortion,2252,"Abortion-related, not including med/surg abortion",Abortion - Incomplete,23,Abortion (Incomplete Abortion) - Surgical / MVA,SRH (Non Contraception) - Surgery,252225223
2,SRH Non Family Planning,52,Abortion,2257,"Abortion-related, not including med/surg abortion",Abortion - Incomplete,22,Abortion  (Incomplete Abortion) - Medical / Pharmaceutical,SRH (Non Contraception) - Therapy / Treatment,252225722
2,SRH Non Family Planning,52,Abortion,2259,"Abortion-related, not including med/surg abortion",Abortion - Incomplete,99,Abortion (Incomplete Abortion) - Surgical/Medical Other/Generic Services,SRH (Non Contraception) - Generic Services,252225999
2,SRH Non Family Planning,52,Abortion,2260,"Abortion-related, not including med/surg abortion",Abortion - PAC,00,ALL ABORTION / POST ABORTION CARE,Control Account - Total,252226000
2,SRH Non Family Planning,52,Abortion,2261,"Abortion-related, not including med/surg abortion",Abortion - PAC,20,Abortion Care - Post - Follow-up including Uterine Involution Monitoring & Bimanual Pelvic Examination,SRH (Non Contraception) - Consult (Initial/Follow up),252226120
2,SRH Non Family Planning,52,Abortion,2269,"Abortion-related, not including med/surg abortion",Abortion - PAC,99,Abortion Care - Post - Other/Generic Services,SRH (Non Contraception) - Generic Services,252226999
2,SRH Non Family Planning,52,Abortion,2270,"Abortion-related, not including med/surg abortion",Abortion - PA Couns,00,ALL ABORTION / POST ABORTION COUNSELLING,Control Account - Total,252227000
2,SRH Non Family Planning,52,Abortion,2271,"Abortion-related, not including med/surg abortion",Abortion - PA Couns,29,Abortion Counselling - Post Abortion Counseling - Including Family Planning,SRH (Non Contraception) Service Specific Counselling,252227129
2,SRH Non Family Planning,52,Abortion,2279,"Abortion-related, not including med/surg abortion",Abortion - PA Couns,99,Abortion Counselling - Post Abortion Counseling - Other/Generic Services,SRH (Non Contraception) - Generic Services,252227999
2,SRH Non Family Planning,53,HIV/AIDS,2300,HIV/AIDS,Total HIV/AIDS,00,ALL HIV/AIDS SERVICES,Control Account - Total,253230000
2,SRH Non Family Planning,53,HIV/AIDS,2309,HIV/AIDS,Total HIV/AIDS,99,HIV/AIDS Services - Other/Generic Services,SRH (Non Contraception) - Generic Services,253230999
2,SRH Non Family Planning,53,HIV/AIDS,2310,HIV/AIDS,HIV/AIDS - Consult,00,ALL HIV/AIDS TREATMENT CONSULTATION,Control Account - Total,253231000
2,SRH Non Family Planning,53,HIV/AIDS,2311,HIV/AIDS,HIV/AIDS - Consult,22,HIV/AIDS Consult - Treatment- Anti Retro Viral (ARV)                                  ,SRH (Non Contraception) - Therapy / Treatment,253231122
2,SRH Non Family Planning,53,HIV/AIDS,2312,HIV/AIDS,HIV/AIDS - Consult,22,HIV/AIDS Consult - Treatment - Opportunistic Infection (OI)                           ,SRH (Non Contraception) - Therapy / Treatment,253231222
2,SRH Non Family Planning,53,HIV/AIDS,2313,HIV/AIDS,HIV/AIDS - Consult,22,HIV/AIDS Consult - Treatment - Post Exposure Prophylaxis (PEP),SRH (Non Contraception) - Therapy / Treatment,253231322
2,SRH Non Family Planning,53,HIV/AIDS,2314,HIV/AIDS,HIV/AIDS - Consult,22,HIV/AIDS Consult - Treatment - Psycho-Social Support                                  ,SRH (Non Contraception) - Therapy / Treatment,253231422
2,SRH Non Family Planning,53,HIV/AIDS,2315,HIV/AIDS,HIV/AIDS - Consult,22,HIV/AIDS Consult - Treatment - Home Care                             ,SRH (Non Contraception) - Therapy / Treatment,253231522
2,SRH Non Family Planning,53,HIV/AIDS,2319,HIV/AIDS,HIV/AIDS - Consult,99,HIV/AIDS Consult - Treatment - Other/Generic Services,SRH (Non Contraception) - Generic Services,253231999
2,SRH Non Family Planning,53,HIV/AIDS,2320,HIV/AIDS,HIV/AIDS - Sero status,00,ALL HIV/AIDS SERO STATUS LAB TESTS,Control Account - Total,253232000
2,SRH Non Family Planning,53,HIV/AIDS,2321,HIV/AIDS,HIV/AIDS - Sero status,21,HIV/AIDS Antibody Lab Tests - ELISA (Blood) Test                                        ,SRH (Non Contraception) - Diagnostic Test/Exam,253232121
2,SRH Non Family Planning,53,HIV/AIDS,2322,HIV/AIDS,HIV/AIDS - Sero status,21,HIV/AIDS Antibody Lab Tests - Western Blot (WB) Assay,SRH (Non Contraception) - Diagnostic Test/Exam,253232221
2,SRH Non Family Planning,53,HIV/AIDS,2323,HIV/AIDS,HIV/AIDS - Sero status,21,HIV/AIDS Antibody Lab Tests - Indirect Immunofluorescence Assay (IFA),SRH (Non Contraception) - Diagnostic Test/Exam,253232321
2,SRH Non Family Planning,53,HIV/AIDS,2324,HIV/AIDS,HIV/AIDS - Sero status,21,HIV/AIDS Other Lab Tests - Rapid Test (Murex-SUDS),SRH (Non Contraception) - Diagnostic Test/Exam,253232421
2,SRH Non Family Planning,53,HIV/AIDS,2329,HIV/AIDS,HIV/AIDS - Sero status,99,HIV/AIDS Other Lab Tests - Other/Generic Services,SRH (Non Contraception) - Generic Services,253232999
2,SRH Non Family Planning,53,HIV/AIDS,2330,HIV/AIDS,HIV/AIDS - Other Lab,00,ALL HIV/AIDS LAB TESTS (OTHER),Control Account - Total,253233000
2,SRH Non Family Planning,53,HIV/AIDS,2331,HIV/AIDS,HIV/AIDS - Other Lab,21,HIV/AIDS Other Lab Tests - Urine Test for HIV,SRH (Non Contraception) - Diagnostic Test/Exam,253233121
2,SRH Non Family Planning,53,HIV/AIDS,2332,HIV/AIDS,HIV/AIDS - Other Lab,21,HIV/AIDS Other Lab Tests - Assessment of Immunologic Function (Viral Load)            ,,253233221
2,SRH Non Family Planning,53,HIV/AIDS,2333,HIV/AIDS,HIV/AIDS - Other Lab,21,HIV/AIDS Other Lab Tests - Assessment of Immunologic Function (CD4 count)            ,SRH (Non Contraception) - Diagnostic Test/Exam,253233321
2,SRH Non Family Planning,53,HIV/AIDS,2339,HIV/AIDS,HIV/AIDS - Other Lab,99,HIV/AIDS Other Lab Tests - Other/Generic Services,SRH (Non Contraception) - Diagnostic Test/Exam,253233999
2,SRH Non Family Planning,53,HIV/AIDS,2340,HIV/AIDS,HIV/AIDS - Prevention,00,ALL HIV/AIDS PREVENTION COUNSELLING,Control Account - Total,253234000
2,SRH Non Family Planning,53,HIV/AIDS,2341,HIV/AIDS,HIV/AIDS - Prevention,29,HIV/AIDS Prevention Counsellng,SRH (Non Contraception) Service Specific Counselling,253234129
2,SRH Non Family Planning,53,HIV/AIDS,2349,HIV/AIDS,HIV/AIDS - Prevention,99,HIV/AIDS Prevention Counselling - Other/Generic Services,SRH (Non Contraception) - Generic Services,253234999
2,SRH Non Family Planning,53,HIV/AIDS,2350,HIV/AIDS,HIV/AIDS - VCT,00,ALL HIV/AIDS PRE/POST TEST COUNSELLING,Control Account - Total,253235000
2,SRH Non Family Planning,53,HIV/AIDS,2351,HIV/AIDS,HIV/AIDS - VCT,29,HIV/AIDS Counselling - PRE Voluntary Counselling & Testing (VCT),SRH (Non Contraception) Service Specific Counselling,253235129
2,SRH Non Family Planning,53,HIV/AIDS,2352,HIV/AIDS,HIV/AIDS - VCT,29,HIV/AIDS Counselling - POST Test (Positive) - Clients Only,SRH (Non Contraception) Service Specific Counselling,253235229
2,SRH Non Family Planning,53,HIV/AIDS,2353,HIV/AIDS,HIV/AIDS - VCT,29,HIV/AIDS Counseling - POST Test (Negative),SRH (Non Contraception) Service Specific Counselling,253235329
2,SRH Non Family Planning,53,HIV/AIDS,2354,HIV/AIDS,HIV/AIDS - VCT,29,HIV/AIDS Counseling - POST Test (Positive) - Sexual Partners,SRH (Non Contraception) Service Specific Counselling,253235429
2,SRH Non Family Planning,53,HIV/AIDS,2359,HIV/AIDS,HIV/AIDS - VCT,99,HIV/AIDS Counseling - Other/Generic Services,SRH (Non Contraception) - Generic Services,253235999
2,SRH Non Family Planning,54,STI/RTI,2400,STI/RTI,Total STI/RTI,00,ALL STI/RTI SERVICES,Control Account - Total,254240000
2,SRH Non Family Planning,54,STI/RTI,2409,STI/RTI,Total STI/RTI,99,STI/RTI Services - Other/Generic Services,SRH (Non Contraception) - Generic Services,254240999
2,SRH Non Family Planning,54,STI/RTI,2410,STI/RTI,STI/RTI - Counselling,00,ALL STI/RTI COUNSELLING,Control Account - Total,254241000
2,SRH Non Family Planning,54,STI/RTI,2411,STI/RTI,STI/RTI - Counselling,29,STI/RTI Counseling - Prevention Counseling                                          ,SRH (Non Contraception) Service Specific Counselling,254241129
2,SRH Non Family Planning,54,STI/RTI,2412,STI/RTI,STI/RTI - Counselling,29,STI/RTI Counseling - POST Test                                   ,SRH (Non Contraception) Service Specific Counselling,254241229
2,SRH Non Family Planning,54,STI/RTI,2419,STI/RTI,STI/RTI - Counselling,99,STI/RTI Counseling - Other/Generic Services,SRH (Non Contraception) - Generic Services,254241999
2,SRH Non Family Planning,54,STI/RTI,2420,STI/RTI,STI/RTI - Consultation,00,ALL STI/RTI CONSULTATION,Control Account - Total,254242000
2,SRH Non Family Planning,54,STI/RTI,2421,STI/RTI,STI/RTI - Consultation,20,STI/RTI Consultation - Follow Up                               ,SRH (Non Contraception) - Consult (Initial/Follow up),254242120
2,SRH Non Family Planning,54,STI/RTI,2429,STI/RTI,STI/RTI - Consultation,99,STI/RTI Consultation - Other/Generic Services                            ,SRH (Non Contraception) - Generic Services,254242999
2,SRH Non Family Planning,54,STI/RTI,2430,STI/RTI,STI/RTI - Lab Tests I,00,ALL STI/RTI LAB TESTS I,Control Account - Total,254243000
2,SRH Non Family Planning,54,STI/RTI,2431,STI/RTI,STI/RTI - Lab Tests I,21,STI/RTI Test - Bacterial Vaginosis                                                        ,SRH (Non Contraception) - Diagnostic Test/Exam,254243121
2,SRH Non Family Planning,54,STI/RTI,2432,STI/RTI,STI/RTI - Lab Tests I,21,STI/RTI Test - Candidiasis                                                      ,SRH (Non Contraception) - Diagnostic Test/Exam,254243221
2,SRH Non Family Planning,54,STI/RTI,2433,STI/RTI,STI/RTI - Lab Tests I,21,STI/RTI Test - Chancroid                                    ,SRH (Non Contraception) - Diagnostic Test/Exam,254243321
2,SRH Non Family Planning,54,STI/RTI,2434,STI/RTI,STI/RTI - Lab Tests I,21,STI/RTI Test - Chlamydia                                   ,SRH (Non Contraception) - Diagnostic Test/Exam,254243421
2,SRH Non Family Planning,54,STI/RTI,2435,STI/RTI,STI/RTI - Lab Tests I,21,STI/RTI Test - Gonorrhea                                    ,SRH (Non Contraception) - Diagnostic Test/Exam,254243521
2,SRH Non Family Planning,54,STI/RTI,2439,STI/RTI,STI/RTI - Lab Tests I,99,STI/RTI Test - Other/Generic Services,SRH (Non Contraception) - Generic Services,254243999
2,SRH Non Family Planning,54,STI/RTI,2440,STI/RTI,STI/RTI - Lab Tests II,00,ALL STI/RTI LAB TESTS II,Control Account - Total,254244000
2,SRH Non Family Planning,54,STI/RTI,2441,STI/RTI,STI/RTI - Lab Tests II,21,STI/RTI Test - Herpes Simplex (HSV)                                             ,SRH (Non Contraception) - Diagnostic Test/Exam,254244121
2,SRH Non Family Planning,54,STI/RTI,2442,STI/RTI,STI/RTI - Lab Tests II,21,STI/RTI Test - Human Papillomavirus (HPV) ,SRH (Non Contraception) - Diagnostic Test/Exam,254244221
2,SRH Non Family Planning,54,STI/RTI,2443,STI/RTI,STI/RTI - Lab Tests II,21,STI/RTI Test - Syphilis                                 ,SRH (Non Contraception) - Diagnostic Test/Exam,254244321
2,SRH Non Family Planning,54,STI/RTI,2444,STI/RTI,STI/RTI - Lab Tests II,21,STI/RTI Test - Trichomoniasis                                                       ,SRH (Non Contraception) - Diagnostic Test/Exam,254244421
2,SRH Non Family Planning,54,STI/RTI,2445,STI/RTI,STI/RTI - Lab Tests II,21,STI/RTI Test - Hepatitis B,SRH (Non Contraception) - Diagnostic Test/Exam,254244521
2,SRH Non Family Planning,54,STI/RTI,2449,STI/RTI,STI/RTI - Lab Tests II,99,STI/RTI Test - Other/Generic Services,SRH (Non Contraception) - Generic Services,254244999
2,SRH Non Family Planning,54,STI/RTI,2450,STI/RTI,STI/RTI - Therapy,00,ALL STI/RTI TREATMENT,Control Account - Total,254245000
2,SRH Non Family Planning,54,STI/RTI,2451,STI/RTI,STI/RTI - Therapy,22,STI/RTI Treatment - Syndromic diagnosis with clinical treatment,SRH (Non Contraception) - Therapy / Treatment,254245122
2,SRH Non Family Planning,54,STI/RTI,2452,STI/RTI,STI/RTI - Therapy,22,STI/RTI Treatment - Etiological diagnosis with clinical treatment,SRH (Non Contraception) - Therapy / Treatment,254245222
2,SRH Non Family Planning,54,STI/RTI,2459,STI/RTI,STI/RTI - Therapy,99,STI/RTI Treatment - Other/Generic Services,SRH (Non Contraception) - Generic Services,254245999
2,SRH Non Family Planning,55,Gynecology,2500,Gynecological,All Gynecology,00,ALL GYNECOLOGICAL SERVICES,Control Account - Total,255250000
2,SRH Non Family Planning,55,Gynecology,2509,Gynecological,All Gynecology,99,Gynecological Services - Other/Generic Services,SRH (Non Contraception) - Generic Services,255250999
2,SRH Non Family Planning,55,Gynecology,2510,Gynecological,Gyn - Diag Biopsy,00,ALL GYNECOLOGICAL BIOPSY,Control Account - Total,255251000
2,SRH Non Family Planning,55,Gynecology,2511,Gynecological,Gyn - Diag Biopsy,23,Gynecological Biopsy - Conization,SRH (Non Contraception) - Surgery,255251123
2,SRH Non Family Planning,55,Gynecology,2512,Gynecological,Gyn - Diag Biopsy,23,Gynecological Biopsy - Needle Biopsy,SRH (Non Contraception) - Surgery,255251223
2,SRH Non Family Planning,55,Gynecology,2513,Gynecological,Gyn - Diag Biopsy,23,Gynecological Biopsy - Aspiration Biopsy,SRH (Non Contraception) - Surgery,255251323
2,SRH Non Family Planning,55,Gynecology,2514,Gynecological,Gyn - Diag Biopsy,23,Gynecological Biopsy - Dilatation & Curretage (D&C),SRH (Non Contraception) - Surgery,255251423
2,SRH Non Family Planning,55,Gynecology,2519,Gynecological,Gyn - Diag Biopsy,99,Gynecological Biopsy - Other/Generic Services,SRH (Non Contraception) - Generic Services,255251999
2,SRH Non Family Planning,55,Gynecology,2520,Gynecological,Gyn - Diag Endoscopy,00,ALL GYNECOLOGICAL ENDOSCOPY,Control Account - Total,255252000
2,SRH Non Family Planning,55,Gynecology,2521,Gynecological,Gyn - Diag Endoscopy,23,Gynecological Endoscopy - Colposcopy,SRH (Non Contraception) - Surgery,255252123
2,SRH Non Family Planning,55,Gynecology,2522,Gynecological,Gyn - Diag Endoscopy,23,Gynecological Endoscopy - Laparoscopy,SRH (Non Contraception) - Surgery,255252223
2,SRH Non Family Planning,55,Gynecology,2523,Gynecological,Gyn - Diag Endoscopy,23,Gynecological Endoscopy - Hysteroscopy,SRH (Non Contraception) - Surgery,255252323
2,SRH Non Family Planning,55,Gynecology,2524,Gynecological,Gyn - Diag Endoscopy,23,Gynecological Endoscopy - Culdoscopy,SRH (Non Contraception) - Surgery,255252423
2,SRH Non Family Planning,55,Gynecology,2525,Gynecological,Gyn - Diag Endoscopy,23,Gynecological Endoscopy - Hysteretomy,SRH (Non Contraception) - Surgery,255252523
2,SRH Non Family Planning,55,Gynecology,2526,Gynecological,Gyn - Diag Endoscopy,23,Gynecological Endoscopy - Ovariectomy,SRH (Non Contraception) - Surgery,255252623
2,SRH Non Family Planning,55,Gynecology,2527,Gynecological,Gyn - Diag Endoscopy,23,Gynecological Endoscopy - Mastectomy,SRH (Non Contraception) - Surgery,255252723
2,SRH Non Family Planning,55,Gynecology,2528,Gynecological,Gyn - Diag Endoscopy,23,Gynecological Endoscopy - Lumpectomy,SRH (Non Contraception) - Surgery,255252823
2,SRH Non Family Planning,55,Gynecology,2529,Gynecological,Gyn - Diag Endoscopy,99,Gynecological Endoscopy - Other/Generic Services,SRH (Non Contraception) - Generic Services,255252999
2,SRH Non Family Planning,55,Gynecology,2530,Gynecological,Gyn - Diagnostic Image,00,ALL GYNECOLOGICAL DIAGNOSTIC IMAGING,Control Account - Total,255253000
2,SRH Non Family Planning,55,Gynecology,2531,Gynecological,Gyn - Diagnostic Image,21,Gynecological Diagnostic Imaging - Radiography - Hysterosalpingography,SRH (Non Contraception) - Diagnostic Test/Exam,255253121
2,SRH Non Family Planning,55,Gynecology,2532,Gynecological,Gyn - Diagnostic Image,21,Gynecological Diagnostic Imaging - Radiography - Mammography,SRH (Non Contraception) - Diagnostic Test/Exam,255253221
2,SRH Non Family Planning,55,Gynecology,2533,Gynecological,Gyn - Diagnostic Image,21,Gynecological Diagnostic Imaging - Ultrasonography,SRH (Non Contraception) - Diagnostic Test/Exam,255253321
2,SRH Non Family Planning,55,Gynecology,2534,Gynecological,Gyn - Diagnostic Image,21,Gynecological Diagnostic Imaging - Tomography,SRH (Non Contraception) - Diagnostic Test/Exam,255253421
2,SRH Non Family Planning,55,Gynecology,2535,Gynecological,Gyn - Diagnostic Image,21,"Gynecological Diagnostic Imaging - Dexa, Bone Density Scan",SRH (Non Contraception) - Diagnostic Test/Exam,255253521
2,SRH Non Family Planning,55,Gynecology,2539,Gynecological,Gyn - Diagnostic Image,99,Gynecological Diagnostic Imaging - Other/Generic Services,SRH (Non Contraception) - Generic Services,255253999
2,SRH Non Family Planning,55,Gynecology,2540,Gynecological,Gyn - Diagnostic Exam,00,ALL GYNECOLOGICAL EXAM DIAGNOSIS,Control Account - Total,255254000
2,SRH Non Family Planning,55,Gynecology,2541,Gynecological,Gyn - Diagnostic Exam,21,Gynecological Exam - Manual Pelvic Exam (includes Palpation),SRH (Non Contraception) - Diagnostic Test/Exam,255254121
2,SRH Non Family Planning,55,Gynecology,2542,Gynecological,Gyn - Diagnostic Exam,21,Gynecological Exam - Manual Breast Exam,SRH (Non Contraception) - Diagnostic Test/Exam,255254221
2,SRH Non Family Planning,55,Gynecology,2543,Gynecological,Gyn - Diagnostic Exam,21,Gynecological Exam - Vaginal Smears Sampling (Pap smear),SRH (Non Contraception) - Diagnostic Test/Exam,255254321
2,SRH Non Family Planning,55,Gynecology,2544,Gynecological,Gyn - Diagnostic Exam,21,Gynecological Exam - Consultation without pelvic exam,SRH (Non Contraception) - Diagnostic Test/Exam,255254421
2,SRH Non Family Planning,55,Gynecology,2549,Gynecological,Gyn - Diagnostic Exam,99,Gynecological Exam - Other/Generic Services,SRH (Non Contraception) - Generic Services,255254999
2,SRH Non Family Planning,55,Gynecology,2550,Gynecological,Gyn - Diagnostic Cyt,00,ALL GYNECOLOGICAL CYTOLOGIC TESTS,Control Account - Total,255255000
2,SRH Non Family Planning,55,Gynecology,2551,Gynecological,Gyn - Diagnostic Cyt,21,Gynecological Lab Test - Cytology Analysis,SRH (Non Contraception) - Diagnostic Test/Exam,255255121
2,SRH Non Family Planning,55,Gynecology,2559,Gynecological,Gyn - Diagnostic Cyt,99,Gynecological Lab Test - Other/Generic Services,SRH (Non Contraception) - Generic Services,255255999
2,SRH Non Family Planning,55,Gynecology,2560,Gynecological,Gyn - Therapy,00,ALL GYNECOLOGICAL THERAPIES,Control Account - Total,255256000
